
			NGC 7790 - Phelps & Janes 1994

star     x       y      V      B-V    U-B    dV   dBV   dUB   dP   nV nB nU
  217   31.10  143.14 16.604  0.782  0.440  0.00  0.00  0.00 0.17  1  1  1
  218  463.65  143.30 17.161  0.922 99.999  0.01  0.01  0.00 0.18  2  2  0
  219  530.98  144.68 17.244  1.056  0.777  0.00  0.00  0.00 0.15  1  1  1
  220  464.74  145.71 16.584  1.037 99.999  0.01  0.02  0.00 0.08  2  2  0
  221  344.31  146.07 17.791  1.024  0.612  0.00  0.00  0.00 0.20  1  1  1
  222  704.16  146.07 16.472  1.044  0.808  0.00  0.00  0.00 0.18  1  1  1
  223  924.16  146.33 20.050  0.710 99.999  0.00  0.00  0.00 0.25  1  1  0
  224  950.92  146.81 20.359  1.002 99.999  0.00  0.00  0.00 0.33  1  1  0
  225  200.85  146.71 19.562  1.122 99.999  0.00  0.00  0.00 0.32  1  1  0
  226  681.04  147.48 16.734  1.662 99.999  0.00  0.00  0.00 0.05  1  1  0
  227  612.29  147.67 18.728  1.186 99.999  0.00  0.00  0.00 0.06  1  1  0
  228   64.59  147.96 18.518  1.249 99.999  0.00  0.00  0.00 0.20  1  1  0
  229  635.31  149.63 17.165  0.901  0.502  0.00  0.00  0.00 0.14  1  1  1
  230  269.84  149.99 19.458  1.789 99.999  0.00  0.00  0.00 0.04  1  1  0
  231  592.45  151.87 18.946  1.203 99.999  0.00  0.00  0.00 0.07  1  1  0
  232  176.47  153.10 15.820  0.706  0.444  0.00  0.00  0.00 0.05  1  1  1
  233  264.26  153.26 18.619  1.393 99.999  0.00  0.00  0.00 0.05  1  1  0
  234  925.48  154.17 16.452  0.777  0.168  0.00  0.00  0.00 0.07  1  1  1
  235  535.23  155.29 20.472  0.641 99.999  0.00  0.00  0.00 0.32  1  1  0
  236  171.92  155.57 19.647  1.183 99.999  0.00  0.00  0.00 0.48  1  1  0
  237  882.71  155.83 17.400  0.941 -0.124  0.00  0.00  0.00 0.14  1  1  1
  238  769.96  156.48 16.633  0.858  0.354  0.00  0.00  0.00 0.16  1  1  1
  239  871.25  156.59 19.855  0.763 99.999  0.00  0.00  0.00 0.28  1  1  0
  240  418.99  157.17 16.929  0.893  0.571  0.00  0.00  0.00 0.20  1  1  1
  241  880.71  157.69 18.599  0.803 99.999  0.00  0.00  0.00 0.19  1  1  0
  242   71.27  158.04 17.057  0.780  0.535  0.00  0.00  0.00 0.15  1  1  1
  243  506.72  158.13 15.024  0.615  0.308  0.00  0.00  0.00 0.03  2  2  2
  244  484.56  158.19 17.117  1.689 99.999  0.00  0.00  0.00 0.07  2  2  0
  245   10.30  158.36 19.768  1.283 99.999  0.00  0.00  0.00 0.15  1  1  0
  246  845.03  159.17 15.043  0.445  0.198  0.00  0.00  0.00 0.04  1  1  1
  247  281.38  160.29 19.213  1.576 99.999  0.00  0.00  0.00 0.43  1  1  0
  248  474.55  160.58 16.442  1.587  1.188  0.00  0.00  0.00 0.16  2  2  2
  249  776.25  163.74 18.217  1.245 99.999  0.00  0.00  0.00 0.15  1  1  0
  250  315.60  164.22 18.097  1.091  0.465  0.00  0.00  0.00 0.21  1  1  1
  251  219.17  164.37 17.897  1.263 99.999  0.00  0.00  0.00 0.37  1  1  0
  252  674.18  164.49 19.417  0.816 99.999  0.00  0.00  0.00 0.37  1  1  0
  253  229.15  164.82 13.118  0.631  0.262  0.00  0.00  0.00 0.04  1  1  1
  254   88.55  165.24 18.859  1.252 99.999  0.00  0.00  0.00 0.26  1  1  0
  255  545.20  165.43 19.030  1.373 99.999  0.00  0.00  0.00 0.21  1  1  0
  256  278.63  165.73 20.228  0.829 99.999  0.00  0.00  0.00 0.42  1  1  0
  257  903.60  165.73 19.031  1.315 99.999  0.00  0.00  0.00 0.30  1  1  0
  258  423.68  165.95 19.640  1.479 99.999  0.00  0.00  0.00 0.40  1  1  0
  259  827.16  166.89 20.711  0.570 99.999  0.00  0.00  0.00 0.31  1  1  0
  260  667.85  167.69 16.861  0.678  0.306  0.00  0.00  0.00 0.10  1  1  1
  261  859.98  169.74 18.754  0.777 99.999  0.00  0.00  0.00 0.18  1  1  0
  262  634.53  171.46 18.705  0.853 99.999  0.00  0.00  0.00 0.24  1  1  0
  263  140.72  171.82 17.453  1.032 99.999  0.00  0.00  0.00 0.05  1  1  0
  264  255.51  171.92 16.103  1.231  0.691  0.00  0.00  0.00 0.20  1  1  1
  265  443.54  172.14 18.474  1.169 99.999  0.00  0.00  0.00 0.18  1  1  0
  266  877.12  172.33 19.497  1.159 99.999  0.00  0.00  0.00 0.19  1  1  0
  267  372.17  172.99 19.312  1.694 99.999  0.00  0.00  0.00 0.34  1  1  0
  268  393.45  172.95 19.052  0.777 99.999  0.00  0.00  0.00 0.02  1  1  0
  269  480.77  173.25 18.103  0.967  0.339  0.00  0.00  0.00 0.23  2  2  2
  270   17.87  173.32 20.019  1.320 99.999  0.00  0.00  0.00 0.23  1  1  0
  271  766.17  173.54 19.936  0.900 99.999  0.00  0.00  0.00 0.64  1  1  0
  272  647.06  173.81 15.160  1.494  1.729  0.00  0.00  0.00 0.07  1  1  1
  273  345.14  174.92 18.392  0.882 99.999  0.00  0.00  0.00 0.10  1  1  0
  274  808.97  175.38 19.356  1.459 99.999  0.00  0.00  0.00 0.26  1  1  0
