156 215.40 301.47 19.487         0.983 0.382 0.851       0.034 0.016 0.023 0.024
157 215.51 264.42 16.915         1.055 0.590 1.156       0.020 0.015 0.013 0.013
158 215.76 256.54 17.479         1.496 0.574 1.106       0.039 0.008 0.010 0.011
159 216.04 200.09 19.064         0.582 0.375 0.740       0.017 0.014 0.015 0.017
160 218.45 224.48 16.327         0.996 0.552 1.062       0.032 0.021 0.015 0.014
161 218.53 228.41 17.365         0.677 0.138 0.613       0.017 0.010 0.033 0.031
162 219.33 262.62 19.811         0.720 0.330 0.810       0.056 0.046 0.039 0.045
163 219.36 217.18 18.675         0.615 0.359 0.707       0.018 0.016 0.020 0.018
164 219.54 198.43 16.896         0.595 0.386 0.743       0.021 0.018 0.015 0.018
165 220.28 303.02 20.387         0.873 0.458 0.839       0.046 0.039 0.033 0.055
166 220.41 179.82 21.060         0.813 0.450 0.956       0.083 0.057 0.063 0.077
167 220.53 458.64 20.064         0.992 0.339 0.812       0.055 0.029 0.030 0.036
168 221.02 237.63 15.028         0.877 0.491 0.949       0.007 0.007 0.010 0.010
169 221.15 223.15 19.767         0.751 0.437 0.876       0.054 0.051 0.044 0.051
170 222.65 194.01 20.267         0.872 0.330 0.839       0.054 0.033 0.034 0.048
171 222.75 435.43 20.221         0.894 0.495 1.064       0.043 0.038 0.029 0.031
172 222.98 200.20 19.767         0.697 0.374 0.825       0.029 0.023 0.019 0.024
173 223.76 218.65 16.971         0.409 0.281 0.547       0.026 0.018 0.017 0.021
174 225.70 205.78 19.135         0.675 0.384 0.774       0.020 0.017 0.015 0.019
